Setting files loaded successfully !!!
Device being used for training : cuda:0
1281167
1281167
50000
50000
current lr 1.00000e-01
Epoch: [1][2150/10010]	Time 1.072 (1.084)	Data 0.675 (0.688)	Loss 5.9030 (6.3794)	Prec@1 1.562 (1.309)
Epoch: [1][2200/10010]	Time 1.005 (1.084)	Data 0.609 (0.687)	Loss 5.9522 (6.3655)	Prec@1 3.906 (1.346)
Epoch: [1][2250/10010]	Time 1.031 (1.083)	Data 0.633 (0.687)	Loss 5.7427 (6.3527)	Prec@1 3.125 (1.390)
Epoch: [1][2300/10010]	Time 1.040 (1.083)	Data 0.645 (0.687)	Loss 5.6948 (6.3399)	Prec@1 4.688 (1.437)
Epoch: [1][2350/10010]	Time 1.068 (1.083)	Data 0.671 (0.687)	Loss 5.5568 (6.3271)	Prec@1 3.906 (1.482)
Epoch: [1][2400/10010]	Time 1.068 (1.083)	Data 0.671 (0.686)	Loss 5.7394 (6.3149)	Prec@1 4.688 (1.526)
Epoch: [1][2450/10010]	Time 1.026 (1.083)	Data 0.629 (0.686)	Loss 5.7308 (6.3022)	Prec@1 2.344 (1.555)
Epoch: [1][2500/10010]	Time 1.060 (1.083)	Data 0.663 (0.686)	Loss 5.8016 (6.2902)	Prec@1 1.562 (1.598)
Epoch: [1][2550/10010]	Time 1.037 (1.082)	Data 0.640 (0.686)	Loss 5.5934 (6.2777)	Prec@1 3.906 (1.644)
Epoch: [1][2600/10010]	Time 1.042 (1.082)	Data 0.645 (0.686)	Loss 5.4833 (6.2650)	Prec@1 6.250 (1.688)
Epoch: [1][2650/10010]	Time 1.024 (1.082)	Data 0.627 (0.685)	Loss 5.8173 (6.2533)	Prec@1 1.562 (1.732)
Epoch: [1][2700/10010]	Time 1.083 (1.082)	Data 0.687 (0.685)	Loss 5.5682 (6.2417)	Prec@1 2.344 (1.772)
Epoch: [1][2750/10010]	Time 1.040 (1.082)	Data 0.643 (0.685)	Loss 5.7707 (6.2303)	Prec@1 1.562 (1.821)
Epoch: [1][2800/10010]	Time 1.035 (1.081)	Data 0.638 (0.685)	Loss 5.6033 (6.2187)	Prec@1 2.344 (1.870)
Epoch: [1][2850/10010]	Time 1.060 (1.081)	Data 0.663 (0.685)	Loss 5.5257 (6.2077)	Prec@1 7.031 (1.911)
Epoch: [1][2900/10010]	Time 1.042 (1.081)	Data 0.646 (0.684)	Loss 5.7158 (6.1968)	Prec@1 1.562 (1.952)
Epoch: [1][2950/10010]	Time 1.080 (1.081)	Data 0.684 (0.684)	Loss 5.7266 (6.1849)	Prec@1 4.688 (1.994)
Epoch: [1][3000/10010]	Time 1.082 (1.081)	Data 0.686 (0.684)	Loss 5.2485 (6.1739)	Prec@1 8.594 (2.039)
Epoch: [1][3050/10010]	Time 1.138 (1.081)	Data 0.742 (0.684)	Loss 5.2763 (6.1628)	Prec@1 8.594 (2.085)
Epoch: [1][3100/10010]	Time 1.048 (1.081)	Data 0.651 (0.684)	Loss 5.5170 (6.1517)	Prec@1 3.906 (2.128)
Epoch: [1][3150/10010]	Time 1.058 (1.081)	Data 0.661 (0.684)	Loss 5.4920 (6.1410)	Prec@1 7.031 (2.172)
Epoch: [1][3200/10010]	Time 1.024 (1.081)	Data 0.628 (0.684)	Loss 5.4762 (6.1305)	Prec@1 3.906 (2.217)
Epoch: [1][3250/10010]	Time 1.044 (1.081)	Data 0.647 (0.684)	Loss 5.5018 (6.1200)	Prec@1 3.906 (2.267)
Epoch: [1][3300/10010]	Time 1.051 (1.081)	Data 0.654 (0.684)	Loss 5.4474 (6.1097)	Prec@1 2.344 (2.311)
Epoch: [1][3350/10010]	Time 1.040 (1.080)	Data 0.643 (0.684)	Loss 5.4595 (6.0998)	Prec@1 5.469 (2.345)
Epoch: [1][3400/10010]	Time 1.034 (1.080)	Data 0.637 (0.684)	Loss 5.3746 (6.0897)	Prec@1 5.469 (2.392)
Epoch: [1][3450/10010]	Time 1.207 (1.080)	Data 0.811 (0.684)	Loss 5.3390 (6.0794)	Prec@1 4.688 (2.437)
Epoch: [1][3500/10010]	Time 1.068 (1.080)	Data 0.670 (0.683)	Loss 5.1572 (6.0691)	Prec@1 6.250 (2.488)
Epoch: [1][3550/10010]	Time 1.154 (1.080)	Data 0.758 (0.683)	Loss 5.4553 (6.0589)	Prec@1 2.344 (2.529)
Epoch: [1][3600/10010]	Time 1.040 (1.080)	Data 0.644 (0.683)	Loss 5.3098 (6.0492)	Prec@1 5.469 (2.576)
Epoch: [1][3650/10010]	Time 1.017 (1.080)	Data 0.620 (0.683)	Loss 5.4540 (6.0397)	Prec@1 7.812 (2.621)
Epoch: [1][3700/10010]	Time 1.021 (1.080)	Data 0.623 (0.683)	Loss 5.0838 (6.0301)	Prec@1 8.594 (2.667)
Epoch: [1][3750/10010]	Time 1.108 (1.080)	Data 0.712 (0.683)	Loss 5.4543 (6.0206)	Prec@1 3.125 (2.716)
Epoch: [1][3800/10010]	Time 1.235 (1.080)	Data 0.838 (0.683)	Loss 5.3867 (6.0115)	Prec@1 7.031 (2.762)
Epoch: [1][3850/10010]	Time 1.111 (1.080)	Data 0.716 (0.683)	Loss 5.4288 (6.0024)	Prec@1 5.469 (2.815)
Epoch: [1][3900/10010]	Time 1.072 (1.080)	Data 0.676 (0.683)	Loss 5.2298 (5.9929)	Prec@1 5.469 (2.865)
Epoch: [1][3950/10010]	Time 1.084 (1.080)	Data 0.688 (0.683)	Loss 5.3215 (5.9840)	Prec@1 7.812 (2.907)
Epoch: [1][4000/10010]	Time 1.092 (1.080)	Data 0.694 (0.683)	Loss 5.2798 (5.9750)	Prec@1 7.031 (2.953)
Epoch: [1][4050/10010]	Time 1.055 (1.080)	Data 0.658 (0.683)	Loss 4.9948 (5.9660)	Prec@1 7.031 (3.002)
Epoch: [1][4100/10010]	Time 1.074 (1.080)	Data 0.676 (0.683)	Loss 5.1916 (5.9573)	Prec@1 2.344 (3.044)
Epoch: [1][4150/10010]	Time 1.141 (1.080)	Data 0.744 (0.683)	Loss 4.9374 (5.9486)	Prec@1 7.031 (3.087)
Epoch: [1][4200/10010]	Time 1.116 (1.080)	Data 0.719 (0.683)	Loss 5.3513 (5.9392)	Prec@1 4.688 (3.135)
Epoch: [1][4250/10010]	Time 1.158 (1.080)	Data 0.761 (0.683)	Loss 5.3511 (5.9307)	Prec@1 4.688 (3.174)
Epoch: [1][4300/10010]	Time 1.045 (1.080)	Data 0.648 (0.683)	Loss 5.3187 (5.9220)	Prec@1 7.812 (3.220)
Epoch: [1][4350/10010]	Time 1.074 (1.079)	Data 0.677 (0.683)	Loss 5.3589 (5.9137)	Prec@1 4.688 (3.263)
Epoch: [1][4400/10010]	Time 1.063 (1.079)	Data 0.667 (0.683)	Loss 5.0902 (5.9052)	Prec@1 7.031 (3.305)
Epoch: [1][4450/10010]	Time 1.053 (1.080)	Data 0.656 (0.683)	Loss 5.2666 (5.8969)	Prec@1 7.031 (3.347)
Epoch: [1][4500/10010]	Time 1.145 (1.080)	Data 0.747 (0.683)	Loss 5.0633 (5.8886)	Prec@1 5.469 (3.393)
Epoch: [1][4550/10010]	Time 1.057 (1.080)	Data 0.660 (0.683)	Loss 4.9866 (5.8803)	Prec@1 10.156 (3.444)
Epoch: [1][4600/10010]	Time 1.068 (1.079)	Data 0.671 (0.683)	Loss 5.2433 (5.8716)	Prec@1 9.375 (3.490)
