Setting files loaded successfully !!!
Device being used for training : cuda:0
1281167
1281167
50000
50000
current lr 1.00000e-01
Epoch: [1][0/10010]	Time 1.415 (1.415)	Data 0.863 (0.863)	Loss 6.9758 (6.9758)	Prec@1 0.000 (0.000)
Epoch: [1][50/10010]	Time 1.124 (1.123)	Data 0.728 (0.724)	Loss 6.9572 (7.1969)	Prec@1 0.000 (0.138)
Epoch: [1][100/10010]	Time 1.183 (1.114)	Data 0.786 (0.716)	Loss 6.9410 (7.0710)	Prec@1 0.000 (0.139)
Epoch: [1][150/10010]	Time 1.077 (1.112)	Data 0.679 (0.715)	Loss 6.9160 (7.0215)	Prec@1 0.000 (0.166)
Epoch: [1][200/10010]	Time 1.214 (1.109)	Data 0.817 (0.711)	Loss 6.8934 (6.9954)	Prec@1 0.000 (0.155)
Epoch: [1][250/10010]	Time 1.129 (1.106)	Data 0.732 (0.709)	Loss 6.9018 (6.9783)	Prec@1 0.000 (0.149)
Epoch: [1][300/10010]	Time 1.043 (1.106)	Data 0.647 (0.709)	Loss 6.9351 (6.9654)	Prec@1 0.000 (0.158)
Epoch: [1][350/10010]	Time 1.063 (1.108)	Data 0.667 (0.711)	Loss 6.8835 (6.9540)	Prec@1 0.000 (0.156)
Epoch: [1][400/10010]	Time 1.177 (1.108)	Data 0.779 (0.710)	Loss 6.8607 (6.9411)	Prec@1 0.000 (0.177)
Epoch: [1][450/10010]	Time 1.085 (1.107)	Data 0.689 (0.710)	Loss 6.8527 (6.9261)	Prec@1 0.000 (0.184)
Epoch: [1][500/10010]	Time 1.132 (1.108)	Data 0.735 (0.711)	Loss 6.7267 (6.9100)	Prec@1 0.000 (0.203)
Epoch: [1][550/10010]	Time 1.070 (1.107)	Data 0.673 (0.710)	Loss 6.6545 (6.8930)	Prec@1 0.781 (0.230)
Epoch: [1][600/10010]	Time 1.084 (1.108)	Data 0.688 (0.711)	Loss 6.6311 (6.8747)	Prec@1 1.562 (0.261)
Epoch: [1][650/10010]	Time 1.060 (1.107)	Data 0.662 (0.710)	Loss 6.6446 (6.8568)	Prec@1 1.562 (0.284)
Epoch: [1][700/10010]	Time 1.101 (1.107)	Data 0.702 (0.710)	Loss 6.4942 (6.8376)	Prec@1 0.000 (0.311)
Epoch: [1][750/10010]	Time 1.265 (1.106)	Data 0.867 (0.709)	Loss 6.5380 (6.8189)	Prec@1 0.781 (0.351)
Epoch: [1][800/10010]	Time 1.157 (1.106)	Data 0.760 (0.709)	Loss 6.5951 (6.7996)	Prec@1 0.000 (0.383)
Epoch: [1][850/10010]	Time 1.054 (1.106)	Data 0.656 (0.709)	Loss 6.4771 (6.7803)	Prec@1 1.562 (0.415)
Epoch: [1][900/10010]	Time 1.073 (1.106)	Data 0.675 (0.709)	Loss 6.3344 (6.7624)	Prec@1 0.781 (0.451)
Epoch: [1][950/10010]	Time 1.091 (1.106)	Data 0.695 (0.708)	Loss 6.4407 (6.7433)	Prec@1 0.781 (0.478)
Epoch: [1][1000/10010]	Time 1.175 (1.106)	Data 0.778 (0.709)	Loss 6.3231 (6.7247)	Prec@1 1.562 (0.507)
Epoch: [1][1050/10010]	Time 1.069 (1.105)	Data 0.672 (0.708)	Loss 6.1582 (6.7048)	Prec@1 0.781 (0.533)
Epoch: [1][1100/10010]	Time 1.080 (1.105)	Data 0.682 (0.708)	Loss 6.2475 (6.6868)	Prec@1 1.562 (0.561)
